State,Abbreviation,Well_Being_2010,Kidney_Rate,Well_Being_2013,"Kidney_Rate, per 1,000,000 population, rounded",WB Change 2013-2010
Alaska,AK,68.3,1.54242E-05,67.6,15.42,-0.7
Alabama,AL,63.71,1.28182E-05,64.1,12.82,0.39
Arkansas,AR,63.69,1.22727E-05,64.3,12.27,0.61
Arizona,AZ,66.19,1.59091E-05,67.2,15.91,1.01
California,CA,67.01,1.32424E-05,67.6,13.24,0.59
Colorado,CO,68.01,1.48485E-05,68.9,14.85,0.89
Connecticut,CT,67.9,1.63636E-05,65.9,16.36,-2
Delaware,DE,64.2,0.000012,66.5,12,2.3
Florida,FL,65.1,1.2697E-05,66.2,12.7,1.1
Georgia,GA,66.1,1.24848E-05,66.6,12.48,0.5
Hawaii,HI,71,1.82424E-05,68.4,18.24,-2.6
Iowa,IA,66.92,1.62424E-05,68.2,16.24,1.28
Idaho,ID,66.9,1.61212E-05,66.3,16.12,-0.6
Illinois,IL,66.3,1.47879E-05,66.9,14.79,0.6
Indiana,IN,64.81,1.39697E-05,64.9,13.97,0.09
Kansas,KS,67.21,1.48182E-05,66.9,14.82,-0.31
Kentucky,KY,61.91,1.38182E-05,63,13.82,1.09
Louisiana,LA,64.29,1.25152E-05,64.9,12.52,0.61
Massachusetts,MA,67.81,1.68788E-05,68,16.88,0.19
Maryland,MD,67.5,1.49697E-05,67.2,14.97,-0.3
Maine,ME,66.41,1.7697E-05,67.7,17.7,1.29
Michigan,MI,64.61,1.33333E-05,65.4,13.33,0.79
Minnesota,MN,68.01,2.13939E-05,69.7,21.39,1.69
Missouri,MO,65.61,1.39697E-05,64.5,13.97,-1.11
Mississippi,MS,63,0.000012,63.7,12,0.7
Montana,MT,67.3,1.59091E-05,69.3,15.91,2
North Carolina,NC,65.1,1.29697E-05,65.8,12.97,0.7
North Dakota,ND,67.99,1.77273E-05,70.4,17.73,2.41
Nebraska,NE,67.81,1.63636E-05,69.7,16.36,1.89
New Hampshire,NH,67.21,2.19091E-05,68.2,21.91,0.99
New Jersey,NJ,66.61,1.49394E-05,66.9,14.94,0.29
New Mexico,NM,66.7,1.27576E-05,65.7,12.76,-1
Nevada,NV,64.2,1.31818E-05,66.6,13.18,2.4
New York,NY,65.9,1.50303E-05,65.5,15.03,-0.4
Ohio,OH,63.8,1.41818E-05,64.2,14.18,0.4
Oklahoma,OK,64.9,1.24242E-05,64.7,12.42,-0.2
Oregon,OR,66.3,1.52424E-05,66.7,15.24,0.4
Pennsylvania,PA,66.12,1.50303E-05,65.5,15.03,-0.62
Rhode Island,RI,65.7,2.07273E-05,65.2,20.73,-0.5
South Carolina,SC,65.32,1.3303E-05,65.3,13.3,-0.02
South Dakota,SD,68.41,1.59394E-05,70,15.94,1.59
Tennessee,TN,64.81,1.23333E-05,64.3,12.33,-0.51
Texas,TX,66.3,1.27273E-05,66.9,12.73,0.6
Utah,UT,67.92,2.94242E-05,68.2,29.42,0.28
Virginia,VA,66.7,1.55152E-05,66.8,15.52,0.1
Vermont,VT,67.1,1.80606E-05,69.1,18.06,2
Washington,WA,67.5,1.80606E-05,68.3,18.06,0.8
Wisconsin,WI,66.7,1.58788E-05,67.7,15.88,1
West Virginia,WV,61.71,1.28182E-05,61.4,12.82,-0.31
Wyoming,WY,69.19,1.33939E-05,65.6,13.39,-3.59
