Location, M_lowanchor , SD_lowanchor ,N_lowanchor, M_highanchor , SD_highanchor ,N_highanchor,Subset,Column1,Country
abington," 2,906 "," 1,090 ",31," 4,021 "," 1,070 ",37,USA,1,USA
brasilia," 2,509 ", 869 ,43," 3,775 "," 1,205 ",30,Not_USA,0,Brazil
charles," 2,650 ", 952 ,35," 3,678 "," 1,169 ",32,Not_USA,0,Czech Republic
conncoll," 2,650 ", 613 ,33," 4,330 "," 1,019 ",49,USA,1,USA
csun," 2,826 ", 749 ,37," 4,135 "," 1,092 ",50,USA,1,USA
help," 2,303 ", 796 ,45," 4,228 "," 1,184 ",28,Not_USA,0,Malaysia
ithaca," 2,799 ", 757 ,37," 3,804 ", 995 ,34,USA,1,USA
jmu," 3,030 ", 875 ,51," 3,984 "," 1,042 ",97,Not_USA,0,VA
ku," 2,634 ", 807 ,33," 3,936 "," 1,288 ",33,Not_USA,0,Turkey
laurier," 2,375 ", 801 ,30," 4,177 "," 1,101 ",37,Not_USA,0,Canada
lse," 2,674 ", 822 ,102," 4,054 "," 1,154 ",131,Not_USA,0,UK
luc," 2,745 "," 1,032 ",62," 4,127 "," 1,178 ",63,USA,1,USA
mcdaniel," 2,933 ", 797 ,38," 4,067 ", 973 ,45,USA,1,USA
msvu," 2,691 "," 1,149 ",26," 4,258 ", 988 ,19,Not_USA,0,Canada
mturk," 2,916 ", 780 ,454," 3,929 "," 1,052 ",472,USA,1,USA
osu," 2,711 ", 906 ,49," 4,403 "," 1,211 ",43,USA,1,USA
oxy," 2,919 ", 800 ,62," 3,820 "," 1,075 ",51,USA,1,USA
pi," 2,957 ", 799 ,578," 3,889 "," 1,026 ",618,USA,1,USA
psu," 2,592 ", 645 ,41," 4,182 "," 1,167 ",39,USA,1,USA
qccuny," 3,002 "," 1,082 ",43," 4,096 "," 1,148 ",47,USA,1,USA
qccuny2," 2,721 ", 772 ,33," 4,217 ", 968 ,42,USA,1,USA
sdsu," 3,184 ", 898 ,66," 4,150 "," 1,115 ",76,USA,1,USA
swps," 2,575 "," 1,162 ",31," 4,155 "," 1,250 ",19,Not_USA,0,Poland
swpson," 2,613 "," 1,003 ",60," 3,726 "," 1,380 ",50,Not_USA,0,Whole Internet
tamu," 2,955 "," 1,044 ",82," 4,242 "," 1,061 ",81,USA,1,USA
tamuc," 2,837 ", 864 ,41," 4,137 "," 1,165 ",39,USA,1,USA
tamuon," 2,869 ", 951 ,85," 3,910 "," 1,005 ",101,USA,1,USA
tilburg," 2,676 ", 752 ,32," 3,733 "," 1,231 ",25,Not_USA,0,Netherlands
ufl," 2,876 ", 818 ,50," 4,183 "," 1,086 ",65,USA,1,USA
unipd," 2,616 ", 937 ,52," 3,723 "," 1,096 ",47,Not_USA,0,Italy
,,,,,,,,,
,,,,,,,,,
Mean," 2,758 ",,," 4,036 ",,,,,
,,,,,,,,,
