ParticipantID,Enjoy_Generic,Enjoy_Organic,Pay_Generic,Pay_Organic,Suspicous
21,10,10,2,2,1
22,8,8,1,3,1
23,10,10,9,9,1
24,2,2,3,4,1
43,7,7,5,5,1
1,8,8,2,4,0
2,4,3,2,3,0
3,8,7,3,5,0
4,4,6,2,4,0
5,6,7,3,5,0
6,8,6,4,5,0
7,8,9,1,3,0
8,5,9,3,5,0
9,7,7,3,5,0
10,7,8,2,5,0
11,9,10,3,5,0
12,7,10,3,7,0
13,4,9,1,5,0
14,9,10,3,4,0
15,8,8,2,4,0
16,3,8,1,5,0
17,6,8,5,8,0
18,8,9,2,6,0
19,10,10,2,3,0
20,10,9,1,3,0
25,10,10,3,6,0
26,5,6,1,4,0
27,5,8,3,4,0
28,8,7,7,7,0
29,7,7,2,4,0
30,6,8,3,4,0
31,6,3,2,3,0
32,8,9,4,4,0
33,6,7,1,4,0
34,7,9,4,7,0
35,4,6,1,3,0
36,3,4,2,3,0
37,7,8,4,5,0
38,7,7,3,4,0
39,8,7,8,7,0
40,7,10,1,10,0
41,6,8,1,3,0
42,10,10,4,4,0
44,8,9,3,5,0
45,10,10,1,3,0
46,5,8,2,4,0
47,7,10,5,6,0
48,5,9,4,6,0
49,10,10,2,3,0
50,6,9,1,3,0
51,3,2,4,2,0
